userID,days,place 1,place 2,place 3,place 4,place 5,place 6,place 7,place 8,place 9,place 10,gender,children,with,season,budget
91,8,Mohamaya Lake,Foy's Lake,Bashbaria Sea Beach,Napittachora Waterfalls,Khoiyachora Waterfall,Abhay Mitra Ghat,Chandranath Hill and Temple,,,,Male,Yes,Family,Monsoon,20000.0
92,10,Khoiyachora Waterfall,Napittachora Waterfalls,Chandranath Hill and Temple,,,,,,,,Male,No,Solo,Summer,4693.0
93,8,Chandranath Hill and Temple,Karnaphuli River,Abhay Mitra Ghat,Patenga Sea Beach,Napittachora Waterfalls,Naval Beach,Bashbaria Sea Beach,Guliakhali Sea Beach,,,Male,No,Solo,Winter,18118.0
94,7,Abhay Mitra Ghat,Guliakhali Sea Beach,Patenga Sea Beach,Foy's Lake,Chittagong Circuit House,Karnaphuli River,Bhatiari,Naval Beach,,,Female,No,Family,Monsoon,16731.0
95,5,Foy's Lake,Chandranath Hill and Temple,Naval Beach,Karnaphuli River,Guliakhali Sea Beach,,,,,,Female,No,Solo,Summer,5643.0
96,5,Bhatiari,Naval Beach,Chandranath Hill and Temple,Napittachora Waterfalls,Patenga Sea Beach,,,,,,Female,Yes,Family,Autumn,16942.5
97,9,Chandranath Hill and Temple,Patenga Sea Beach,Naval Beach,Guliakhali Sea Beach,Bashbaria Sea Beach,Napittachora Waterfalls,Khoiyachora Waterfall,Karnaphuli River,Mohamaya Lake,Abhay Mitra Ghat,Male,Yes,Family,Monsoon,20000.0
98,7,Guliakhali Sea Beach,Foy's Lake,Patenga Sea Beach,Bashbaria Sea Beach,,,,,,,Female,No,Family,Monsoon,19657.5
99,1,Chandranath Hill and Temple,Khoiyachora Waterfall,Bashbaria Sea Beach,Naval Beach,,,,,,,Male,Yes,Solo,Winter,5694.0
100,9,Mohamaya Lake,Guliakhali Sea Beach,,,,,,,,,Female,No,Solo,Autumn,4787.0
101,4,Bhatiari,Guliakhali Sea Beach,Abhay Mitra Ghat,Napittachora Waterfalls,Khoiyachora Waterfall,Mohamaya Lake,Chittagong Circuit House,,,,Male,No,Couple,Summer,5559.599999999999
102,8,Bashbaria Sea Beach,Foy's Lake,Chittagong Circuit House,Karnaphuli River,Chandranath Hill and Temple,Patenga Sea Beach,Bhatiari,Naval Beach,Khoiyachora Waterfall,,Female,No,Couple,Autumn,20000.0
103,6,Napittachora Waterfalls,Mohamaya Lake,Patenga Sea Beach,Khoiyachora Waterfall,,,,,,,Male,No,Solo,Summer,12674.0
104,4,Mohamaya Lake,Guliakhali Sea Beach,Bhatiari,Chandranath Hill and Temple,Naval Beach,Bashbaria Sea Beach,Khoiyachora Waterfall,Napittachora Waterfalls,,,Male,No,Solo,Winter,15987.0
105,10,Naval Beach,Napittachora Waterfalls,Chandranath Hill and Temple,Bhatiari,Bashbaria Sea Beach,Patenga Sea Beach,,,,,Male,Yes,Couple,Monsoon,5895.599999999999
106,3,Naval Beach,Bashbaria Sea Beach,Karnaphuli River,Guliakhali Sea Beach,Bhatiari,Chittagong Circuit House,,,,,Female,Yes,Friends,Autumn,12776.0
107,1,Guliakhali Sea Beach,Naval Beach,,,,,,,,,Female,No,Family,Monsoon,9903.0
108,9,Bhatiari,Bashbaria Sea Beach,,,,,,,,,Male,No,Couple,Summer,20000.0
109,4,Karnaphuli River,Guliakhali Sea Beach,,,,,,,,,Female,Yes,Solo,Monsoon,5373.0
110,9,Foy's Lake,Karnaphuli River,Chandranath Hill and Temple,,,,,,,,Male,No,Family,Summer,20000.0
111,7,Naval Beach,Chittagong Circuit House,Foy's Lake,Chandranath Hill and Temple,Bashbaria Sea Beach,Patenga Sea Beach,Guliakhali Sea Beach,,,,Female,Yes,Solo,Autumn,18641.0
112,4,Bashbaria Sea Beach,,,,,,,,,,Female,Yes,Friends,Autumn,15398.0
113,5,Foy's Lake,Chandranath Hill and Temple,Bashbaria Sea Beach,Guliakhali Sea Beach,Naval Beach,Bhatiari,Napittachora Waterfalls,,,,Male,No,Couple,Summer,20000.0
114,1,Abhay Mitra Ghat,Mohamaya Lake,Chittagong Circuit House,Chandranath Hill and Temple,Khoiyachora Waterfall,Guliakhali Sea Beach,Bhatiari,Naval Beach,Patenga Sea Beach,,Male,Yes,Friends,Autumn,3427.0
115,10,Mohamaya Lake,Abhay Mitra Ghat,Bashbaria Sea Beach,Patenga Sea Beach,Chandranath Hill and Temple,Foy's Lake,Karnaphuli River,Chittagong Circuit House,Napittachora Waterfalls,Bhatiari,Female,No,Friends,Monsoon,13337.0
116,8,Karnaphuli River,Chandranath Hill and Temple,Khoiyachora Waterfall,Bashbaria Sea Beach,Mohamaya Lake,Foy's Lake,Patenga Sea Beach,Chittagong Circuit House,Napittachora Waterfalls,,Male,No,Solo,Autumn,19540.0
117,6,Guliakhali Sea Beach,Foy's Lake,Bhatiari,Chandranath Hill and Temple,Naval Beach,Bashbaria Sea Beach,,,,,Female,Yes,Couple,Winter,4893.599999999999
118,3,Khoiyachora Waterfall,Mohamaya Lake,Abhay Mitra Ghat,Chandranath Hill and Temple,Napittachora Waterfalls,Karnaphuli River,Bashbaria Sea Beach,Foy's Lake,Patenga Sea Beach,Chittagong Circuit House,Male,Yes,Couple,Autumn,17330.399999999998
119,6,Abhay Mitra Ghat,Karnaphuli River,Chittagong Circuit House,Bhatiari,Patenga Sea Beach,Napittachora Waterfalls,Bashbaria Sea Beach,Mohamaya Lake,Chandranath Hill and Temple,,Male,Yes,Family,Autumn,5445.0
120,10,Foy's Lake,Bashbaria Sea Beach,Guliakhali Sea Beach,Karnaphuli River,Abhay Mitra Ghat,Bhatiari,Chittagong Circuit House,Khoiyachora Waterfall,Napittachora Waterfalls,,Male,Yes,Solo,Summer,17188.0
121,7,Karnaphuli River,Naval Beach,Bhatiari,Foy's Lake,Napittachora Waterfalls,Chandranath Hill and Temple,Chittagong Circuit House,Patenga Sea Beach,Bashbaria Sea Beach,Khoiyachora Waterfall,Male,Yes,Friends,Monsoon,8576.0
122,2,Bhatiari,Guliakhali Sea Beach,Khoiyachora Waterfall,Bashbaria Sea Beach,Chittagong Circuit House,Abhay Mitra Ghat,Karnaphuli River,Patenga Sea Beach,Napittachora Waterfalls,,Female,Yes,Solo,Winter,15175.0
123,10,Khoiyachora Waterfall,Bhatiari,Napittachora Waterfalls,,,,,,,,Male,No,Family,Winter,20000.0
124,5,Foy's Lake,Patenga Sea Beach,Napittachora Waterfalls,,,,,,,,Male,No,Couple,Monsoon,8890.8
125,3,Chandranath Hill and Temple,Karnaphuli River,Bhatiari,Guliakhali Sea Beach,Patenga Sea Beach,Bashbaria Sea Beach,Chittagong Circuit House,,,,Male,No,Couple,Monsoon,9606.0
126,7,Mohamaya Lake,Bashbaria Sea Beach,Guliakhali Sea Beach,Patenga Sea Beach,Abhay Mitra Ghat,Naval Beach,Khoiyachora Waterfall,Bhatiari,Karnaphuli River,,Male,Yes,Family,Winter,20000.0
127,6,Karnaphuli River,,,,,,,,,,Male,Yes,Couple,Summer,20000.0
128,7,Karnaphuli River,Napittachora Waterfalls,,,,,,,,,Male,Yes,Solo,Winter,11377.0
129,1,Bashbaria Sea Beach,Guliakhali Sea Beach,Foy's Lake,Karnaphuli River,Patenga Sea Beach,,,,,,Female,Yes,Couple,Autumn,20000.0
130,5,Mohamaya Lake,Guliakhali Sea Beach,Karnaphuli River,Napittachora Waterfalls,Khoiyachora Waterfall,Bhatiari,,,,,Female,No,Solo,Monsoon,15616.0
131,7,Patenga Sea Beach,Bashbaria Sea Beach,,,,,,,,,Female,Yes,Family,Winter,20000.0
132,10,Chandranath Hill and Temple,,,,,,,,,,Male,No,Friends,Autumn,8039.0
133,2,Chittagong Circuit House,Naval Beach,Chandranath Hill and Temple,Karnaphuli River,Patenga Sea Beach,Abhay Mitra Ghat,Bashbaria Sea Beach,Bhatiari,,,Female,No,Couple,Monsoon,4627.2
134,6,Bashbaria Sea Beach,Karnaphuli River,Abhay Mitra Ghat,Chandranath Hill and Temple,Patenga Sea Beach,Mohamaya Lake,Chittagong Circuit House,Guliakhali Sea Beach,,,Female,Yes,Couple,Monsoon,9253.199999999999
135,1,Khoiyachora Waterfall,Guliakhali Sea Beach,Chittagong Circuit House,Karnaphuli River,Naval Beach,Mohamaya Lake,,,,,Female,Yes,Family,Summer,20000.0
136,10,Napittachora Waterfalls,Naval Beach,Chandranath Hill and Temple,Khoiyachora Waterfall,,,,,,,Female,No,Solo,Autumn,18819.0
137,7,Napittachora Waterfalls,Foy's Lake,Karnaphuli River,Chittagong Circuit House,Mohamaya Lake,,,,,,Male,Yes,Solo,Autumn,14771.0
138,5,Mohamaya Lake,Chandranath Hill and Temple,Khoiyachora Waterfall,,,,,,,,Male,No,Couple,Winter,20000.0
139,10,Karnaphuli River,Naval Beach,Guliakhali Sea Beach,,,,,,,,Female,No,Couple,Summer,20000.0
140,1,Bashbaria Sea Beach,Chandranath Hill and Temple,Chittagong Circuit House,Mohamaya Lake,Naval Beach,,,,,,Female,Yes,Friends,Monsoon,16436.0
141,5,Patenga Sea Beach,Foy's Lake,Chittagong Circuit House,Khoiyachora Waterfall,Chandranath Hill and Temple,Bashbaria Sea Beach,Karnaphuli River,Napittachora Waterfalls,Mohamaya Lake,,Male,No,Family,Monsoon,20000.0
142,5,Abhay Mitra Ghat,Karnaphuli River,Chandranath Hill and Temple,Foy's Lake,Chittagong Circuit House,Khoiyachora Waterfall,Bashbaria Sea Beach,,,,Female,Yes,Couple,Autumn,17169.6
143,1,Chandranath Hill and Temple,Patenga Sea Beach,Khoiyachora Waterfall,Chittagong Circuit House,Mohamaya Lake,Karnaphuli River,Bashbaria Sea Beach,,,,Female,No,Friends,Winter,18396.0
144,6,Bhatiari,Chandranath Hill and Temple,Foy's Lake,Karnaphuli River,Naval Beach,Guliakhali Sea Beach,Abhay Mitra Ghat,Chittagong Circuit House,Khoiyachora Waterfall,,Male,No,Family,Summer,20000.0
145,4,Napittachora Waterfalls,Naval Beach,Patenga Sea Beach,,,,,,,,Female,No,Solo,Summer,10371.0
146,2,Chittagong Circuit House,Mohamaya Lake,,,,,,,,,Male,No,Friends,Winter,8431.0
147,3,Naval Beach,Foy's Lake,Patenga Sea Beach,,,,,,,,Female,Yes,Solo,Summer,3793.0
148,6,Khoiyachora Waterfall,Mohamaya Lake,Patenga Sea Beach,Bashbaria Sea Beach,Chittagong Circuit House,Napittachora Waterfalls,Foy's Lake,,,,Male,Yes,Family,Summer,9049.5
149,2,Chandranath Hill and Temple,Napittachora Waterfalls,Abhay Mitra Ghat,Bashbaria Sea Beach,,,,,,,Male,Yes,Friends,Autumn,19743.0
